,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
194,265.9,5,0,2.7,1,1,0,0,1,0,0,0
195,236.5,3,0,4.7,1,0,0,0,1,0,0,0
196,330.0,0,0,0.0007,1,0,0,0,1,0,0,0
197,236.8,4,0,5.7,1,0,0,0,1,0,0,0
198,231.0,3,0,3.1,0,0,0,0,0,0,1,0
199,254.2,5,0,3.0,1,0,0,0,1,0,0,0
200,235.8,3,0,5.7,1,0,0,0,1,0,0,0
201,239.2,5,0,4.5,1,0,0,0,1,0,0,0
202,209.2,4,0,8.4,1,0,0,0,1,0,0,0
203,269.9,2,0,2.0,1,0,0,0,1,0,0,0
204,249.9,5,0,3.6,1,0,0,0,1,0,0,0
205,299.7,0,0,1.0,1,0,0,0,1,0,0,0
206,222.2,4,0,7.2,1,0,0,0,1,0,0,0
207,220.0,4,0,1.3,0,0,0,0,1,0,0,0
208,329.8,0,0,0.048,1,0,0,0,0,0,1,0
209,278.1,2,0,1.3,1,0,0,0,1,0,0,0
210,259.8,3,0,3.6,1,0,0,0,1,0,0,0
211,239.8,4,0,1.3,0,0,0,0,1,0,0,0
212,179.1,5,0,1.9,0,0,1,0,0,0,0,0
213,291.2,3,0,1.5,1,1,0,0,1,0,0,0
214,255.6,3,0,2.5,1,0,0,0,1,0,0,0
215,249.9,4,0,1.8,1,0,0,0,1,0,0,0
216,310.5,1,0,1.5,1,0,0,0,1,0,0,0
217,225.5,4,0,3.1,0,0,0,0,1,0,0,0
218,309.4,1,0,1.6,1,0,0,0,1,0,0,0
219,225.8,4,0,0.8,0,0,0,0,1,0,0,0
220,248.9,3,0,4.1,1,0,0,0,1,0,0,0
221,187.5,4,0,7.2,0,0,0,0,1,0,0,0
222,264.3,5,0,4.5,1,1,0,0,1,0,0,0
223,283.8,3,0,1.4,1,0,0,0,1,0,0,0
224,249.2,3,0,6.4,1,0,0,0,1,0,0,0
225,286.3,2,0,2.7,1,0,0,0,1,0,0,0
226,229.9,5,0,3.0,0,0,0,0,1,0,0,0
227,246.3,4,0,6.6,1,0,0,0,1,0,0,0
228,308.0,3,0,1.8,1,1,0,0,1,0,0,0
229,345.0,0,0,0.0011,1,0,0,0,1,0,0,0
230,319.1,2,0,0.9,1,1,0,0,1,0,0,0
231,281.9,4,0,1.8,1,0,0,0,1,0,0,0
232,256.1,5,0,5.1,1,0,0,0,1,0,0,0
233,285.4,4,0,2.7,1,0,0,0,1,0,0,0
234,242.2,5,0,1.8,0,0,0,0,1,0,0,0
235,274.4,5,0,4.9,1,0,0,0,1,0,0,0
236,153.3,3,0,5.7,1,0,1,0,0,0,0,0
237,267.4,1,0,1.4,1,0,0,0,1,0,0,0
238,171.5,3,0,2.3,0,0,0,0,0,1,0,0
239,193.3,4,0,4.1,1,0,0,0,1,0,0,0
240,171.8,3,0,2.6,0,0,0,0,0,1,0,0
241,171.3,4,0,5.2,1,0,1,0,0,0,0,0
242,179.6,5,0,3.9,1,0,1,0,0,0,0,0
243,177.3,4,0,4.5,1,0,1,0,0,0,0,0
244,258.9,1,0,3.2,1,0,0,0,1,0,0,0
245,222.7,3,0,4.3,1,1,0,0,1,0,0,0
